#name	m_b	err_m_b	zhel	zcmb	vp	vp_2mpp_sdss_6df	vp_2mrs	vp_2mpp
15234	  19.825	 0.22821	 0.13636	 0.13514	 -53.924	     -42	     -45	     -46
000014	  19.724	 0.14639	  0.1369	 0.13599	 -39.871	     -30	     -30	     -34
17629	  19.595	 0.13938	 0.13742	  0.1364	 -47.528	     -37	     -38	     -41
19775	  19.756	  0.1629	 0.13809	 0.13687	 -33.228	     -26	     -36	     -29
18602	  19.709	 0.18533	 0.13834	 0.13696	 -45.309	     -35	     -44	     -39
17366	  19.633	0.090511	 0.13929	 0.13811	 -27.986	     -22	     -32	     -24
15171	  19.697	 0.11342	  0.1392	 0.13818	 -19.261	     -15	     -25	     -16
190340	   19.77	0.087578	  0.1396	 0.13824	 -42.346	     -33	     -42	     -36
20084	  19.787	 0.23001	 0.13973	 0.13834	 -46.737	     -36	     -44	     -40
090275	  19.768	 0.10305	    0.14	 0.13959	  10.262	      13	      14	       9
1794	  19.924	  0.1305	 0.14191	  0.1407	 -30.016	     -23	     -33	     -26
340229	  19.788	 0.15391	   0.142	 0.14108	 -41.664	     -32	     -32	     -36
2635	  19.794	 0.11328	  0.1437	 0.14311	 -35.688	     -27	     -24	     -31
17497	  19.823	 0.12089	 0.14479	 0.14388	 -43.393	     -33	     -33	     -37
8921	  19.763	 0.16972	 0.14539	  0.1441	 -34.888	     -27	     -37	     -30
13796	  19.714	 0.12094	  0.1487	 0.14729	 -47.132	     -37	     -43	     -40
14024	  19.881	 0.13401	 0.14881	 0.14759	 -31.207	     -24	     -34	     -27
180166	  19.908	  0.1201	  0.1475	 0.14757	 -54.987	     -50	     -51	     -47
13736	  19.908	 0.12313	 0.15021	 0.14882	 -42.109	     -33	     -41	     -36
