#name	m_b	err_m_b	zhel	zcmb	vp	vp_2mpp_sdss_6df	vp_2mrs	vp_2mpp
PS17akj	   17.31	 0.14741	 0.04681	  0.0478	  8.6079	     -11	      92	     -30
ASASSN-15pm	   17.12	 0.11003	 0.04879	 0.04777	 -170.03	    -167	    -120	    -205
1995ac	  17.077	0.095545	  0.0499	 0.04867	  20.119	      38	     103	      51
PS16el	  17.216	 0.12555	  0.0478	 0.04896	 -126.33	    -151	     -30	    -189
2006cq	   17.33	 0.11843	 0.04844	 0.04928	 -44.669	     -55	      72	     -53
PS15asb	  17.218	 0.13348	 0.04863	 0.04952	 -107.07	    -132	      24	    -178
PS16dnp	  17.605	 0.11465	 0.05127	 0.04998	  -70.97	     -58	     -33	     -60
2007kh	  17.287	 0.32325	    0.05	 0.04944	 -250.68	    -248	    -169	    -269
PS16fbb	  17.627	 0.11967	  0.0525	 0.05139	   91.74	     115	     214	     145
ASASSN-16hc	  17.333	 0.11277	 0.05093	 0.05165	  40.677	      39	     179	      65
2006ot	  17.615	 0.15333	  0.0531	 0.05232	  85.935	     106	     102	     131
AT2016htn	  17.588	 0.15727	 0.05312	 0.05229	  20.941	      43	      10	      54
PS16evk	  17.661	 0.14822	 0.05447	  0.0532	  165.11	     194	     290	     249
2010dt	  17.594	 0.12229	 0.05287	 0.05291	 -69.119	     -72	     -40	     -69
2006lu	   17.61	0.098555	  0.0534	 0.05449	  291.11	     296	     208	     341
PS16ayd	  17.605	 0.11491	 0.05399	 0.05485	  45.733	      30	     -17	      24
490007	  17.615	 0.13829	 0.05439	 0.05513	 -80.939	     -88	      10	     -81
PS16aer	  17.786	  0.1265	 0.05547	 0.05668	 -71.052	     -89	       3	    -109
2005hj	  17.737	  0.1238	 0.05739	 0.05631	 -217.88	    -218	    -197	    -259
2008eq	  17.816	 0.16169	  0.0568	  0.0568	 -136.25	    -147	     -71	    -174
SN2016gmb	  17.701	 0.12923	 0.05827	 0.05708	  -343.7	    -355	    -231	    -434
2001ah	  17.727	 0.17926	 0.05776	 0.05837	 -138.06	    -146	    -226	    -149
2008bz	   17.91	0.090262	 0.06015	  0.0613	  88.721	      80	     142	      99
2008bz	  17.939	 0.11496	 0.06015	  0.0613	  88.721	      80	     142	      99
2006oa	  17.822	 0.13191	 0.06257	 0.06142	 -33.081	     -23	     -20	     -22
1992bs	  18.099	 0.14884	 0.06405	  0.0637	 -4.4741	      -5	      40	     -36
2007ae	  17.832	  0.1083	 0.06499	 0.06485	 -135.09	    -130	    -257	    -114
PS15cms	  18.109	 0.14436	 0.06479	 0.06603	 -69.583	     -93	      36	    -129
