#name	m_b	err_m_b	zhel	zcmb	vp	vp_2mpp_sdss_6df	vp_2mrs	vp_2mpp
2003fa	  16.755	  0.1058	  0.0404	  0.0401	 -119.78	-121	89	-127
PS16axi	  16.839	  0.1202	  0.0393	  0.0406	  -93.28	-131	-93	-220
2009do	  16.781	   0.104	  0.0396	  0.0403	 -206.58	-223	-186	-254
2001az	  17.005	  0.1058	  0.0407	  0.0406	 -120.83	-115	-122	-95
1992bl	  16.945	  0.1493	  0.0436	  0.0428	  167.01	181	254	200
2014bj	  17.255	  0.3025	   0.043	  0.0424	  -53.16	-42	108	-17
2006cf	  16.988	  0.1077	  0.0415	  0.0422	 -129.54	-140	-82	-147
2007kk	      17	  0.1361	  0.0418	  0.0413	 -446.69	-472	-171	-534
2007kk	  16.875	  0.1303	  0.0418	  0.0413	 -446.69	-472	-171	-534
AT2016htm	  16.921	  0.1138	  0.0433	  0.0427	 -67.491	-66	-74	-92
MASTERJ0134	  16.977	   0.125	  0.0449	  0.0439	  60.648	77	75	91
ASASSN-15mg	  17.111	  0.1287	  0.0428	  0.0431	  -289.8	-311	-265	-361
AT2016cvv	  17.256	  0.1658	  0.0446	   0.044	 -97.444	-88	13	-68
2005ku	  17.003	  0.1804	  0.0452	   0.044	  -120.6	-113	-198	-130
1992bh	  17.268	  0.1953	   0.045	  0.0451	  202.28	207	257	220
PSNJ1204051	  17.186	  0.1405	  0.0439	   0.045	 -123.44	-152	-23	-204
2005hc	  17.183	  0.1076	  0.0459	   0.045	 -228.69	-230	-306	-280
2005hc	   17.21	  0.1228	  0.0459	   0.045	 -228.69	-230	-306	-280
2008050	  16.991	  0.1548	  0.0453	  0.0463	  6.3868	-9	106	-19
2005lz	  17.033	  0.1393	  0.0462	  0.0454	 -292.46	-292	-120	-324
360156	   17.25	  0.1524	  0.0455	  0.0467	  46.504	32	-7	34
2008cf	  17.231	  0.1079	   0.046	  0.0469	   29.57	4	85	-35
2008cf	  17.203	  0.1328	   0.046	  0.0469	   29.57	4	85	-35
AT2017yk	  17.459	  0.2071	  0.0464	  0.0476	  207.29	206	269	242
PS16fa	  17.276	  0.1159	  0.0461	  0.0473	 -74.087	-105	-49	-152
PS15aii	  17.302	  0.1034	  0.0466	  0.0477	 -26.351	-49	10	-72
PS17akj	  17.248	  0.1474	  0.0468	  0.0478	  8.6079	-11	92	-30
ASASSN-15pm	  17.098	    0.11	  0.0488	  0.0478	 -170.03	-167	-120	-205
1995ac	  17.015	  0.0955	  0.0499	  0.0487	  20.119	38	103	51
PS16el	  17.245	  0.1255	  0.0478	   0.049	 -126.33	-151	-30	-189
2006cq	  17.352	  0.1184	  0.0484	  0.0493	 -44.669	-55	72	-53
PS15asb	  17.203	  0.1335	  0.0486	  0.0495	 -107.07	-132	24	-178
PS16dnp	   17.63	  0.1147	  0.0513	    0.05	  -70.97	-58	-33	-60
2007kh	  17.256	  0.3232	    0.05	  0.0494	 -250.68	-248	-169	-269
PS16fbb	  17.578	  0.1197	  0.0525	  0.0514	   91.74	115	214	145
ASASSN-16hc	   17.28	  0.1128	  0.0509	  0.0517	  40.677	39	179	65
2006ot	  17.475	  0.1533	  0.0531	  0.0523	  85.935	106	102	131
AT2016htn	  17.545	  0.1573	  0.0531	  0.0523	  20.941	43	10	54
PS16evk	  17.615	  0.1482	  0.0545	  0.0532	  165.11	194	290	249
2010dt	   17.56	  0.1223	  0.0529	  0.0529	 -69.119	-72	-40	-69
2006lu	  17.571	  0.0986	  0.0534	  0.0545	  291.11	296	208	341
PS16ayd	  17.592	  0.1149	   0.054	  0.0549	  45.733	30	-17	24
490007	  17.579	  0.1383	  0.0544	  0.0551	 -80.939	-88	10	-81
PS16aer	  17.781	  0.1265	  0.0555	  0.0567	 -71.052	-89	3	-109
2005hj	  17.695	  0.1238	  0.0574	  0.0563	 -217.88	-218	-197	-259
