#name	m_b	err_m_b	zhel	zcmb	vp	vp_2mpp_sdss_6df	vp_2mrs	vp_2mpp
2008bz	  18.024	 0.24263	  0.0603	 0.06139	 -139.74	      80	     142	      99
2008C	  15.157	 0.25835	  0.0166	0.017057	 -247.41	     -87	    -104	     -91
2008cc	  13.755	 0.24257	  0.0104	0.010136	  97.358	     213	     188	     224
2008cf	  17.115	 0.24135	   0.046	0.046859	 -256.49	       4	      85	     -35
2008ff	  14.967	 0.19423	  0.0193	0.018779	 -234.67	    -178	    -114	    -290
2008fl	  15.457	 0.23456	  0.0199	0.019417	  196.24	    -152	     -50	    -263
2008fp	  12.636	 0.19102	  0.0057	0.0063268	 -65.053	      24	     -33	       4
2008fr	  16.897	 0.25447	  0.0397	0.038633	 -80.829	     -94	      59	     -92
2008fu	  17.667	 0.27407	   0.052	0.051464	  55.106	       5	      72	      -5
2008fw	  13.886	 0.24568	  0.0085	0.0094633	  6.2997	     443	     353	     533
2008gg	  16.239	 0.24267	   0.032	0.031072	 -9.6911	      -8	       0	     -14
2008gl	  16.618	 0.19108	   0.034	0.032953	  50.124	     -59	     -37	     -57
2008go	  17.912	 0.19204	  0.0623	0.061247	  82.084	     -56	     236	     -89
2008gp	    16.5	 0.19177	  0.0334	0.032834	 -597.39	    -265	    -256	    -314
2008hj	  16.814	 0.19078	  0.0379	0.036756	  -225.9	    -106	    -103	    -132
2008hu	  17.622	 0.24949	  0.0497	 0.05056	 -20.942	      45	     -13	      38
2008hv	  14.757	  0.1918	  0.0126	 0.01364	 -255.18	     -59	       3	     -80
2008ia	  15.837	 0.19401	  0.0219	0.022513	 -103.72	      61	     132	      24
2008O	  16.972	 0.19497	  0.0389	0.039388	  473.74	     281	     334	     348
2008R	  14.625	  0.1919	  0.0135	0.012894	 0.66533	      58	      78	      76
2009aa	  16.245	 0.19218	  0.0273	0.028491	 -343.65	     -44	      88	     -89
2009ab	  14.523	 0.19183	  0.0112	0.010899	  305.41	     145	     162	     190
2009ad	  16.218	  0.1931	  0.0284	0.028337	 -270.21	     -23	    -120	     -12
2009ag	   14.14	 0.19345	  0.0086	0.0092144	 -122.75	    -214	    -117	    -294
2009al	  15.657	  0.2369	  0.0221	0.023286	 -35.344	     -67	      29	     -92
2009cz	  15.641	 0.19154	  0.0211	0.021955	 -142.57	      38	      -2	      70
2009D	  15.822	 0.19068	   0.025	0.024664	   225.6	      76	      94	      88
2009ds	  15.203	 0.19274	  0.0193	0.020519	 -183.55	      15	      65	     -12
2009I	  16.375	 0.19849	  0.0262	0.025481	  17.774	     -54	     -81	     -58
2009le	  15.071	 0.19118	  0.0178	0.017054	 -367.13	    -134	    -102	    -183
2009P	  15.925	 0.20226	  0.0251	0.026334	 -330.57	     -32	      14	     -63
2009Y	  13.532	 0.19182	  0.0094	0.010157	   286.7	     153	     172	     168
